"block_size","milliseconds_elapsed","total_size"
"128","315","104857600"
"128","324","104857600"
"128","331","104857600"
"128","323","104857600"
"128","334","104857600"
"128","327","104857600"
"128","330","104857600"
"128","340","104857600"
"128","339","104857600"
"128","309","104857600"
"128","303","104857600"
"128","325","104857600"
"128","326","104857600"
"128","305","104857600"
"128","312","104857600"
"128","307","104857600"
"128","304","104857600"
"128","310","104857600"
"128","334","104857600"
"128","318","104857600"
"128","306","104857600"
"128","299","104857600"
"128","314","104857600"
"128","303","104857600"
"128","308","104857600"
"128","300","104857600"
"128","307","104857600"
"128","339","104857600"
"128","326","104857600"
"128","329","104857600"
"128","328","104857600"
"128","330","104857600"
"128","326","104857600"
"128","339","104857600"
"128","326","104857600"
"128","307","104857600"
"128","307","104857600"
"128","316","104857600"
"128","303","104857600"
"128","313","104857600"
"128","303","104857600"
"128","307","104857600"
"128","314","104857600"
"128","327","104857600"
"128","322","104857600"
"128","308","104857600"
"128","301","104857600"
"128","316","104857600"
"128","302","104857600"
"128","298","104857600"
"512","252","104857600"
"512","253","104857600"
"512","266","104857600"
"512","284","104857600"
"512","280","104857600"
"512","257","104857600"
"512","256","104857600"
"512","249","104857600"
"512","249","104857600"
"512","255","104857600"
"512","261","104857600"
"512","290","104857600"
"512","268","104857600"
"512","259","104857600"
"512","257","104857600"
"512","264","104857600"
"512","262","104857600"
"512","253","104857600"
"512","263","104857600"
"512","259","104857600"
"512","250","104857600"
"512","262","104857600"
"512","257","104857600"
"512","259","104857600"
"512","274","104857600"
"512","283","104857600"
"512","258","104857600"
"512","276","104857600"
"512","264","104857600"
"512","271","104857600"
"512","274","104857600"
"512","279","104857600"
"512","271","104857600"
"512","285","104857600"
"512","278","104857600"
"512","261","104857600"
"512","265","104857600"
"512","260","104857600"
"512","258","104857600"
"512","265","104857600"
"512","281","104857600"
"512","276","104857600"
"512","261","104857600"
"512","253","104857600"
"512","260","104857600"
"512","256","104857600"
"512","256","104857600"
"512","261","104857600"
"512","253","104857600"
"512","252","104857600"
"1024","240","104857600"
"1024","253","104857600"
"1024","263","104857600"
"1024","272","104857600"
"1024","249","104857600"
"1024","250","104857600"
"1024","250","104857600"
"1024","259","104857600"
"1024","254","104857600"
"1024","246","104857600"
"1024","247","104857600"
"1024","254","104857600"
"1024","246","104857600"
"1024","268","104857600"
"1024","262","104857600"
"1024","250","104857600"
"1024","249","104857600"
"1024","247","104857600"
"1024","245","104857600"
"1024","249","104857600"
"1024","255","104857600"
"1024","260","104857600"
"1024","268","104857600"
"1024","248","104857600"
"1024","250","104857600"
"1024","250","104857600"
"1024","257","104857600"
"1024","250","104857600"
"1024","272","104857600"
"1024","268","104857600"
"1024","252","104857600"
"1024","248","104857600"
"1024","246","104857600"
"1024","246","104857600"
"1024","245","104857600"
"1024","241","104857600"
"1024","247","104857600"
"1024","252","104857600"
"1024","247","104857600"
"1024","247","104857600"
"1024","262","104857600"
"1024","261","104857600"
"1024","269","104857600"
"1024","256","104857600"
"1024","254","104857600"
"1024","253","104857600"
"1024","251","104857600"
"1024","258","104857600"
"1024","266","104857600"
"1024","274","104857600"
"4096","249","104857600"
"4096","248","104857600"
"4096","253","104857600"
"4096","249","104857600"
"4096","247","104857600"
"4096","251","104857600"
"4096","244","104857600"
"4096","239","104857600"
"4096","240","104857600"
"4096","252","104857600"
"4096","249","104857600"
"4096","267","104857600"
"4096","251","104857600"
"4096","244","104857600"
"4096","242","104857600"
"4096","251","104857600"
"4096","244","104857600"
"4096","253","104857600"
"4096","251","104857600"
"4096","254","104857600"
"4096","244","104857600"
"4096","251","104857600"
"4096","245","104857600"
"4096","239","104857600"
"4096","242","104857600"
"4096","245","104857600"
"4096","266","104857600"
"4096","256","104857600"
"4096","256","104857600"
"4096","248","104857600"
"4096","239","104857600"
"4096","253","104857600"
"4096","238","104857600"
"4096","241","104857600"
"4096","249","104857600"
"4096","245","104857600"
"4096","239","104857600"
"4096","244","104857600"
"4096","250","104857600"
"4096","245","104857600"
"4096","274","104857600"
"4096","254","104857600"
"4096","254","104857600"
"4096","240","104857600"
"4096","240","104857600"
"4096","247","104857600"
"4096","254","104857600"
"4096","263","104857600"
"4096","250","104857600"
"4096","253","104857600"
"8192","241","104857600"
"8192","235","104857600"
"8192","236","104857600"
"8192","242","104857600"
"8192","247","104857600"
"8192","235","104857600"
"8192","231","104857600"
"8192","244","104857600"
"8192","258","104857600"
"8192","243","104857600"
"8192","229","104857600"
"8192","244","104857600"
"8192","237","104857600"
"8192","230","104857600"
"8192","231","104857600"
"8192","235","104857600"
"8192","250","104857600"
"8192","248","104857600"
"8192","254","104857600"
"8192","232","104857600"
"8192","236","104857600"
"8192","232","104857600"
"8192","241","104857600"
"8192","233","104857600"
"8192","246","104857600"
"8192","255","104857600"
"8192","247","104857600"
"8192","232","104857600"
"8192","236","104857600"
"8192","246","104857600"
"8192","233","104857600"
"8192","238","104857600"
"8192","237","104857600"
"8192","242","104857600"
"8192","229","104857600"
"8192","238","104857600"
"8192","245","104857600"
"8192","252","104857600"
"8192","249","104857600"
"8192","245","104857600"
"8192","252","104857600"
"8192","232","104857600"
"8192","245","104857600"
"8192","239","104857600"
"8192","238","104857600"
"8192","252","104857600"
"8192","258","104857600"
"8192","259","104857600"
"8192","251","104857600"
"8192","241","104857600"
